month,route,flights
2019-12-01,Melbourne - Sydney,4857
2020-01-01,Melbourne - Sydney,4869
2020-02-01,Melbourne - Sydney,4677
2020-03-01,Melbourne - Sydney,3726
2020-04-01,Melbourne - Sydney,439
2020-05-01,Melbourne - Sydney,377
2020-06-01,Melbourne - Sydney,707
2020-07-01,Melbourne - Sydney,596
2020-08-01,Melbourne - Sydney,292
2020-09-01,Melbourne - Sydney,362
2019-10-01,Gold Coast - Sydney,1591
2019-11-01,Gold Coast - Sydney,1456
2019-12-01,Gold Coast - Sydney,1570
2020-01-01,Gold Coast - Sydney,1696
2020-02-01,Gold Coast - Sydney,1329
2020-03-01,Gold Coast - Sydney,1066
2020-04-01,Gold Coast - Sydney,44
2020-05-01,Gold Coast - Sydney,na
2020-06-01,Gold Coast - Sydney,44
2020-07-01,Gold Coast - Sydney,248
